0011ca0 402d 662b a151 87bc be76 33ab dd52 740d
0011cb0 fe68 2768 a0a2 4085 bc2d 7947 b785 52a5
0011cc0 cb82 552a b255 52fe c1e9 168a 47be 3a84
0011cd0 b5af 36bc 3c8c 3fd6 80b8 030c ce8d 21af
0011ce0 999e a409 bdf1 e140 56d4 8d83 64fc 7343
0011cf0 bb30 b348 8764 cbea 4e17 7ed0 c7e8 2262
0011d00 703d 2783 6f65 0678 7066 2a20 b6cc 3c78
0011d10 2f2c 95db fd28 23f2 9254 462b cbe7 b535
0011d20 de72 cca6 0662 ebee 0404 0fa2 cfa3 514b
0011d30 d333 38a7 aaef bfc3 5fcc 6639 7ea9 d090
0011d40 7870 4504 15f6 f254 84a8 5c7a 9868 25c9
0011d50 48ea 6259 3a9d a20d fa2d c490 0968 fda0
0011d60 35b5 619a 292c 3654 485f 9d9c b6b0 d924
0011d70 538c e202 0cab 5c4b 094d e7df 6ca5 d28a
0011d80 6889 996b 44da 744d 5e4f e441 edda 1ef6
0011d90 d5d8 8a8c 6f5c 2bec 76ad 9c59 992c bed9
0011da0 dc00 f130 4f2a 693f 044e 2598 f4b7 7005
0011db0 1685 1e4f a01d 63d5 834c 3460 07cf cf6b
0011dc0 59cb e314 ba2c 6711 c965 df49 263a fbee
0011dd0 470e cd08 03f6 317d a89e baa2 9dda 141e
0011de0 30e9 6049 52e4 a527 fcf1 ac45 a18d b9a3
0011df0 e28b f0be 89a6 2481 f7c2 bd89 dec5 5a03
0011e00 ae05 6fd4 e58e 264e ddd1 d187 7724 5cd5
